Global_Temp,,,Local_Temp,,,
year,avg_temp,Global Temperature MA,city,country,avg_temp,Local Temperature MA 
1907,7.95,8.322857143,Cairo,Egypt,20.45,21.15571429
1908,8.19,8.244285714,Cairo,Egypt,20.37,20.99571429
1909,8.18,8.194285714,Cairo,Egypt,21.4,20.77857143
1910,8.22,8.177142857,Cairo,Egypt,20.65,20.78428571
1911,8.18,8.177142857,Cairo,Egypt,20.78,20.82142857
1912,8.17,8.19,Cairo,Egypt,20.79,20.84571429
1913,8.3,8.181428571,Cairo,Egypt,20.4,20.81142857
1914,8.59,8.17,Cairo,Egypt,20.96,20.69142857
1915,8.59,8.261428571,Cairo,Egypt,21.57,20.76428571
1916,8.23,8.318571429,Cairo,Egypt,21.73,20.93571429
1917,8.02,8.325714286,Cairo,Egypt,21.12,20.98285714
1918,8.13,8.297142857,Cairo,Egypt,21.43,21.05
1919,8.38,8.29,Cairo,Egypt,21.43,21.14285714
1920,8.36,8.32,Cairo,Egypt,20.72,21.23428571
1921,8.57,8.328571429,Cairo,Egypt,20.73,21.28
1922,8.41,8.325714286,Cairo,Egypt,21.39,21.24714286
1923,8.42,8.3,Cairo,Egypt,21.39,21.22142857
1924,8.51,8.327142857,Cairo,Egypt,21.61,21.17285714
1925,8.53,8.397142857,Cairo,Egypt,21.37,21.24285714
1926,8.73,8.454285714,Cairo,Egypt,21.22,21.23428571
1927,8.52,8.504285714,Cairo,Egypt,21.76,21.20428571
1928,8.63,8.527142857,Cairo,Egypt,21.72,21.35285714
1929,8.24,8.535714286,Cairo,Egypt,21.07,21.49428571
1930,8.63,8.511428571,Cairo,Egypt,21.73,21.44857143
1931,8.72,8.541428571,Cairo,Egypt,21.6,21.49714286
1932,8.71,8.571428571,Cairo,Egypt,21.43,21.49571429
1933,8.34,8.597142857,Cairo,Egypt,21.24,21.50428571
1934,8.63,8.541428571,Cairo,Egypt,21.52,21.50714286
1935,8.52,8.557142857,Cairo,Egypt,21.61,21.47285714
1936,8.55,8.541428571,Cairo,Egypt,22,21.45714286
1937,8.7,8.585714286,Cairo,Egypt,21.82,21.59
1938,8.86,8.595714286,Cairo,Egypt,20.92,21.60285714
1939,8.76,8.615714286,Cairo,Egypt,21.85,21.50571429
1940,8.76,8.622857143,Cairo,Egypt,21.59,21.56571429
1941,8.77,8.682857143,Cairo,Egypt,21.76,21.61571429
1942,8.73,8.702857143,Cairo,Egypt,21.59,21.65
1943,8.76,8.732857143,Cairo,Egypt,21.35,21.64714286
1944,8.85,8.762857143,Cairo,Egypt,21.4,21.55428571
1945,8.58,8.784285714,Cairo,Egypt,20.83,21.49428571
1946,8.68,8.744285714,Cairo,Egypt,21.76,21.48142857
1947,8.8,8.732857143,Cairo,Egypt,21.94,21.46857143
1948,8.75,8.738571429,Cairo,Egypt,20.88,21.51857143
1949,8.59,8.735714286,Cairo,Egypt,20.68,21.39285714
1950,8.37,8.715714286,Cairo,Egypt,21.53,21.26285714
1951,8.63,8.66,Cairo,Egypt,21.82,21.28857143
1952,8.64,8.628571429,Cairo,Egypt,21.92,21.34857143
1953,8.87,8.637142857,Cairo,Egypt,21.17,21.50428571
1954,8.56,8.664285714,Cairo,Egypt,21.45,21.42
1955,8.63,8.63,Cairo,Egypt,22.1,21.35
1956,8.28,8.612857143,Cairo,Egypt,21.48,21.52428571
1957,8.73,8.568571429,Cairo,Egypt,21.49,21.63857143
1958,8.77,8.62,Cairo,Egypt,21.85,21.63285714
1959,8.73,8.64,Cairo,Egypt,20.98,21.63714286
1960,8.58,8.652857143,Cairo,Egypt,22.3,21.50285714
1961,8.8,8.611428571,Cairo,Egypt,21.14,21.66428571
1962,8.75,8.645714286,Cairo,Egypt,22.11,21.62
1963,8.86,8.662857143,Cairo,Egypt,22.09,21.62142857
1964,8.41,8.745714286,Cairo,Egypt,21.07,21.70857143
1965,8.53,8.7,Cairo,Egypt,21.52,21.64857143
1966,8.6,8.665714286,Cairo,Egypt,22.1,21.60142857
